표준버스정류장ID,역명,자치구,승차총승객수
112900108,팔각정(00003),서대문구,2277
120000419,보라매공영주차장(00005),관악구,2277
107900241,정든마을(00023),성북구,2276
120000219,대학동노인정(00031),관악구,2274
100900113,단군성전앞(00014),종로구,2270
103900180,벽산노인정(00033),성동구,2269
119900319,롯데캐슬샤인(00017),동작구,2267
107000177,대농빌라앞(00003),성북구,2266
111900154,대림모터스(00011),은평구,2259
100900067,인왕빌딩(00005),종로구,2255
113000455,DMC첨단산업센터(00060),마포구,2254
118000598,래미안에스티움북문(00036),영등포구,2251
108900258,한영교회(00021),강북구,2251
117000919,삼화약국(00025),금천구,2244
119900236,교수아파트(00029),동작구,2241
110000676,불암산스포츠타운(00070),노원구,2240
123000695,잠실나루역(00010),송파구,2228
107900111,한신105동앞(00022),성북구,2214
115900244,강서세무서.공항초교(00008),강서구,2208
123000704,효죽동입구(00015),송파구,2201
108900260,대성빌라정문(00019),강북구,2197
112900243,두란노어린이집앞(00007),서대문구,2194
115900254,마곡나루역(00016),강서구,2184
121900154,함지박사거리(00033),서초구,2179
103900177,벽산아파트505동(00036),성동구,2174
107900228,이지마트(00029),성북구,2170
118000603,삼각공원(00078),영등포구,2169
118000113,문래중학교(00095),영등포구,2166
112900166,미동초등학교(00012),서대문구,2165
108900163,삼양신협(00011),강북구,2157
115900273,마곡엠밸리14단지(00004),강서구,2157
121900325,본마을노인복지센터(00007),서초구,2154
111901128,삼거리.명진아파트(00017),은평구,2151
